|------------|---------------------------------------------------------------|--------|----------------|
| PRIMARYKEY | TIMESTAMP                                                     | METHOD | URL            |
|------------|---------------------------------------------------------------|--------|----------------|
|          1 | Mon Jan 13 2025 11:37:16 GMT+0100 (West Africa Standard Time) | GET    | /getAllSamples |
|------------|---------------------------------------------------------------|--------|----------------|
|         10 | Mon Jan 13 2025 18:31:37 GMT+0100 (West Africa Standard Time) | GET    | /getAllSamples |
|------------|---------------------------------------------------------------|--------|----------------|
|         11 | Mon Jan 13 2025 22:12:00 GMT+0100 (West Africa Standard Time) | GET    | /getAllSamples |
|------------|---------------------------------------------------------------|--------|----------------|
|         12 | Mon Jan 13 2025 22:18:02 GMT+0100 (West Africa Standard Time) | GET    | /getAllSamples |
|------------|---------------------------------------------------------------|--------|----------------|
